ccdc_id,csd_density,csd_packing_coefficient,csd_void_percent,csd_hbonds_inter_count,csd_contacts_inter_total,csd_contacts_under_cutoff,csd_min_contact_distance
MIFROL,1.9344441513586337,0.734487138774214,0.0,0,8,8,2.5847384028689
MIFSAY,1.4717161524683935,0.7336888138714133,0.0,0,10,9,2.290024110210144
MIFSEC,1.3965982707672202,0.710139705882353,0.0,0,7,6,2.120038332049764
MIWJUZ,1.536430085433597,0.772821729745673,0.0,0,26,21,2.2809400180333683
MOFREE,1.1940991619889394,0.6743859482102056,4.410224676313785,0,10,10,2.811478282990329
MOFRAA,1.3633625740911908,0.6818198536172717,0.0,0,8,7,2.928561449834969
XEFDER02,1.2751468714419465,0.7051053521641757,2.0826667885491417,0,14,14,2.38750073701972
XEFDER06,2.6147991573343923,0.7212017898998508,1.636479863626678,0,35,35,2.312200867378509
ZEQMEP02,1.3101041910388764,0.7469501931677914,0.0,0,20,20,2.428671278498637
ULODUV,1.6054953567937431,0.7022405660377359,0.0,4,27,27,1.9273106866539813
ULOFAD,1.6783230149710957,0.6983780205230057,0.0,4,24,24,1.924563841511525
ULOFEH,1.762304114773441,0.7106909825203509,0.0,4,32,31,1.909964621935585
NAVYEP,2.6933232999661896,0.6879479594389745,2.934640234300264,3,18,16,2.2020215189440457
YELWOC,1.4534413039448526,0.6551694009292381,2.768183874018338,3,16,16,2.124214680194362
YELWOC01,1.536709853940998,0.693464820619993,0.7817942354580285,6,49,49,2.1047522522488844
YELWUI,1.5732086829623702,0.6955714166457968,0.5133984472827448,3,18,18,2.1136067733890456
YELWUI02,1.6706512198517287,0.7055102520218799,0.0,3,28,28,2.0650657490777
YELXET,1.6470120648321644,0.7055219768923975,0.0,3,16,15,2.177966965620822
YELXET01,2.2043350542206923,0.7393819662138628,0.0,3,27,26,2.1791663956325937
