ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
VEWVEY,0.168844,0.000230,133.850958,417.805813,2.208441
VEYTEY,0.161305,0.000221,90.011155,263.372520,2.183771
VEYTIC,0.045235,0.000012,84.073289,260.634970,2.205666
VIFNAC,0.000060,0.000000,4.327987,10.041319,2.194335
VIFNAC01,0.033708,0.000011,11.863576,30.883051,2.114169
VILZAT,0.233154,0.000355,140.026175,435.634869,2.187288
VILZEX,0.230068,0.000422,141.771431,497.082266,2.197214
VILZOH,0.212864,0.000360,150.810180,457.327483,2.131428
VIMBAW,0.270731,0.000506,147.728398,519.599192,2.212685
VISCAD,0.122053,0.000117,142.638523,467.680838,2.155769
VOJPAM,0.000154,0.000000,10.346893,24.142025,2.191012
VUJRIC,0.029426,0.000007,22.913771,55.069232,1.989428
WAHKEX,0.156037,0.000272,42.834832,120.078721,1.985647
WAHKEX01,0.325087,0.000906,67.550092,198.405635,2.174219
WATJEJ,0.361119,0.001053,80.516300,213.135256,2.152511
